Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,,2020 Population,2020VS1970,2020VS2010,2020VS2015,2015 Population,2015vs2010,2010 Population,2010vs2000,2000 Population,2000vs1990,1990 Population,1990vs1980,1980 Population,1980vs1970,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
24,ZAF,South Africa,Pretoria,Africa,59893885,1.071897501,58801927,2.628805552,1.135502881,1.052355155,55876504,1.079011089,51784921,1.10620184,46813266,1.17392474,39877570,1.353454399,29463549,1.31720073,22368306,1221037,49.0517,1.0084,0.75
29,KOR,South Korea,Seoul,Asia,51815810,1.016107827,51844690,1.590272157,1.062107336,1.016674164,50994401,1.044688036,48813042,1.043268048,46788591,1.060483899,44120039,1.155867433,38170501,1.170833213,32601143,100210,517.0722,0.9997,0.65
86,SSD,South Sudan,Juba,Africa,10913164,0.974885877,10606227,3.173227402,1.091802505,0.947466831,11194299,1.152338498,9714419,1.588766755,6114440,1.287029157,4750817,1.133302608,4192011,1.254188146,3342410,619745,17.6091,1.0153,0.14
30,ESP,Spain,Madrid,Europe,47558630,1.0242786,47363807,1.40160222,1.016984924,1.020082663,46431342,0.996963247,46572772,1.143124318,40741651,1.047615513,38889889,1.037294235,37491666,1.10946323,33792617,505992,93.9909,1.0015,0.6
61,LKA,Sri Lanka,Colombo,Asia,21832143,1.02322037,21715079,1.752803608,1.05063353,1.01773386,21336697,1.032326398,20668557,1.100774852,18776371,1.091389701,17204094,1.151264902,14943645,1.206225171,12388769,65610,332.7563,1.0027,0.27
32,SDN,Sudan,Khartoum,Africa,46874204,1.227999932,44440486,3.93097534,1.317148022,1.164241931,38171178,1.131335323,33739933,1.282947041,26298773,1.246925947,21090886,1.264928012,16673586,1.474859105,11305206,1886068,24.8529,1.0267,0.59
170,SUR,Suriname,Paramaribo,America,618040,1.073964985,607065,1.59788428,1.111677776,1.054893783,575475,1.053829109,546080,1.140046514,478998,1.160487067,412756,1.100354028,375112,0.987349902,379918,163820,3.7727,1.0082,0.01
87,SWE,Sweden,Stockholm,Europe,10549347,1.071070484,10368969,1.291648469,1.10523007,1.052756786,9849349,1.049843691,9381729,1.057567752,8871043,1.037742358,8548406,1.028470855,8311763,1.035385095,8027702,450295,23.4276,1.0079,0.13
101,CHE,Switzerland,Bern,Europe,8740472,1.055391795,8638613,1.397556343,1.104338099,1.043092556,8281732,1.058715349,7822435,1.089163289,7182059,1.070081573,6711693,1.062125808,6319113,1.022307222,6181227,41284,211.7157,1.0056,0.11
60,SYR,Syria,Damascus,Asia,22125249,1.152046026,20772595,3.28721963,0.929940074,1.081614292,19205178,0.859770513,22337563,1.369759439,16307654,1.314179971,12408996,1.394433099,8898954,1.408240823,6319199,185180,119.4797,1.0376,0.28
